Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year to Date Tujuh Kota (y to D) (Persen),,,,,,,,,,,
,2024,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,0.15,0.61,1.12,1.27,1.15,1.11,1.16,1.23,1.02,1.04,1.29,1.64
Kab. Bandung,0.06,0.37,0.76,0.87,0.86,0.97,1.17,1.03,0.84,0.87,1.25,1.46
Kab. Majalengka,0.06,0.45,1.02,1.05,0.56,0.68,0.83,1,0.94,0.96,1.22,1.6
Kab. Subang,0.28,0.41,0.56,0.57,0.06,-0.3,0.25,0.37,-0.01,0.11,0.38,0.93
Kota Bogor,0.06,0.65,1.11,1.21,1.19,1.08,1.01,1.05,0.91,0.99,1.26,1.75
Kota Sukabumi,0.47,0.83,1.47,1.64,1.48,1.32,1.16,1.18,0.99,1.39,1.74,2.59
Kota Bandung,0.1,0.48,1.03,1.16,1.11,1.08,1.09,1.22,0.97,1.01,1.21,1.61
Kota Cirebon,0.04,0.59,1.24,1.4,1.09,0.74,0.55,0.58,0.42,0.49,0.67,1.1
Kota Bekasi,0.24,0.75,1.39,1.6,1.51,1.53,1.57,1.56,1.17,1.09,1.27,1.6
Kota Depok,0.2,0.76,1.28,1.48,1.36,1.25,1.15,1.45,1.44,1.5,1.7,1.95
Kota Tasikmalaya,0.1,0.82,1.47,1.65,1.42,1.38,1.4,1.47,1.38,1.32,1.5,1.94
