,Judul,Tanggal,Penulis,Label,Kota,Deskripsi,Url
0,"        Pengemudi BMW Lawan Arah Tabrak Pemotor di Jaksel Dites Urine, Ini Hasilnya    ","Minggu, 12 Feb 2023 11:43 WIB",Adrial Akbar - detikNews,detikNews,Jakarta,"Jakarta - Polisi melakukan tes urine terhadap pengemudi BMW berinisial CN yang melawan arus lalu lintas dan menabrak pengendara sepeda motor hingga tewas di Jakarta Selatan. Lalu, apa hasilnya?""Nggak-nggak ada (indikasi mabuk). Udah dicek urine juga. Iya iya (negatif narkoba),"" kata Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno ketika dihubungi, Minggu (12/2/2023).Pengemudi BMW berinisial CN itu saat ini masih menjalani pemeriksaan. Status CN pun masih saksi.                Baca juga: Horor BMW Melaju Lawan Arah Berujung Hilang Nyawa Pemotor""Masih penyelidikan masih saksi dulu, masih cek CCTV segala sabar dulu,"" kata dia.Sebelumnya, mobil BMW melaju melawan arus lalu lintas dan menabrak sepeda motor. Kecelakaan di Jakarta Selatan pada Sabtu (11/2) dini hari tadi itu menewaskan pengemudi sepeda motor berinisial BAS (25).""Tepatnya di depan SPBU Pertamina karena kurang berhati-hati dan konsentrasi hingga menabrak bagian depan kendaraan sepeda motor Honda Vario,"" kata Kepala Unit Lalu Lintas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, Sabtu (11/2).Baca juga: Penampakan Mobil BMW yang Tabrak Pemotor hingga Tewas di JakselPeristiwa kecelakaan terjadi di Jl Fatmawati, Cilandak, Jakarta Selatan, sekitar pukul 01.50 WIB. Sedan BMW bernomor polisi B-1507-WBI itu awalnya melaju dari arah utara ke selatan dengan melawan arus. Dari arah yang berlawanan namun sesuai arus jalan, sepeda motor korban melaju.""Berakibat pengendara sepeda motor berinisial BAS (asal) Cilegon berusia 25 tahun meninggal dunia di tempat kejadian perkara serta kedua kendaraan yang terlibat mengalami kerusakan-kerusakan,"" kata Suharno.Namun polisi masih menyelidiki dugaan penyebab kecelakaan ini. Jenazah korban tewas, yakni pria pengemudi sepeda motor, telah dibawa ke RS Fatmawati. Pengemudi sedan BMW telah diamankan polisi.Baca juga: Saksi Lihat Kepala Pemotor yang Tewas Ditabrak BMW Terluka: Keluar Darah""Diamankan Unit Laka,"" kata Kasat Lantas Polres Metro Jakarta Selatan Kompol Joko Sutriono saat dihubungi.Simak juga 'Terungkap Mobil Pelat Polri yang Tabrak Motor di Jaktim Masih Kredit':[Gambas:Video 20detik](ygs/ygs)bmw bmw lawan arah bmw lawan arah tabrak pemotor pemotor tewas ditabrak bmw kecelakaan maut jakarta selatan jabodetabek ",https://news.detik.com/berita/d-6564486/pengemudi-bmw-lawan-arah-tabrak-pemotor-di-jaksel-dites-urine-ini-hasilnya
1,        Aksi Robot Transformer di Subang Ingatkan Pengendara Tertib Lalin    ,"Minggu, 12 Feb 2023 11:22 WIB",Dwiky Maulana Vellayati - detikJabar,detikJabar,Subang,"Subang - Berbagai cara dilakukan oleh Satlantas Polres Subang untuk mensosialisasikan keselamatan berlalu lintas kepada masyarakat. Salah satunya dengan menurunkan robot transformer dalam Operasi Keselamatan Lodaya 2023.Penampilan robot layaknya di film transformer ini turut mewarnai pada Operasi Keselamatan Lodaya 2023 di Lampu Merah Cilameri, Kecamatan Pagaden, Kabupaten Subang belum lama ini.Baca juga: Duh...Masih Banyak Bikers di Cimahi Tak Patuh Aturan Lalin!Robot transformer tersebut terlihat berada di jalan raya bersama anggota kepolisian untuk menyapa para pengendara sekaligus memberikan sosialisasi pentingnya tertib lalu lintas kepada para pengendara roda dua maupun roda empat.                Bukan hanya itu, tidak sedikit para pengendara yang membawa anak-anaknya merasa terhibur dengan hadirnya dari robot transformer yang berdiri di pinggir lampu merah.Salah satu pengendara motor Neng Carsem pun tidak ingin kehilangan momen untuk mengajak anaknya menyapa balik serta foto bersama dengan robot transformer itu.""Menarik kang unik juga ada robot yang bentuknya lumayan tinggi ini terus sambil nyapa warga. Anak saya juga sedikit terhibur dan senang kebetulan suka sama robot-robot,"" ujar Neng Carsem kepada detikJabar.Bukan hanya terhibur, Neng Carsem dan anaknya yang berkendara dengan tertib menggunakan helm serta membawa surat-surat ini pun juga sedikit diberikan reward oleh pihak kepolisian berupa makanan ringan serta mainan anak-anak.""Tadi dikasih makanan sama mainan juga sama pak polisinya. Sedikit pesan aja mungkin kepada pengendara lain agar tertib lalu lintas sama jangan lupa pakai helm,"" katanya.Sementara itu, Kasat Lantas Polres Subang AKP Lucky Martono mengatakan, robot yang diberikan nama 'robot keselamatan' itu tentunya akan terus mewarnai dan hadir selama Operasi Keselamatan Lodaya 2023 berjalan.""Operasi Lodaya tahun 2023 kali ini Polres Subang melakukan kegiatan yang berbeda dan yang unik dengan menampilkan robot bumble bee transformer atau robot keselamatan untuk memberikan edukasi, sosialisasi dan pemahaman masyarakat tentang pentingnya berlalu lintas,"" kata Lucky.Lucky menjelaskan, jajaran Satlantas Polres Subang memilih untuk menghadirkan robot transformer ini bertujuan agar memberikan pemahaman kepada masyarakat terutama anak-anak untuk selalu berkendara yang tertib terutama dalam hal menggunakan helm.""Hadirkan robot transformer agar lebih diingat oleh masyarakat Subang ini terutama sasaran kita anak-anak terus pelajar juga untuk tertib berlalu lintas. Memang masih ada beberapa titik di Subang ini masih perlu diberikan pemahaman tertib berlalu lintas tentunya untuk mengurangi angka laka lantas juga,"" jelasnya.Baca juga: Jalan Rusak, Warga Desa di Subang Ini Memilih Belanja ke Luar DaerahSelain menyasar kepada anak-anak, polisi juga memberikan sosialisasi keselamatan berlalu lintas kepada pengendara lainnya dengan memberikan selembaran kertas dan stiker berisi pesan berlalu lintas. Operasi keselamatan sendiri dilaksanakan selama dua pekan dari tanggal 7 Februari 2023 hingga tanggal 20 Februari 2023.Sementara itu, Kapolres Subang AKBP Sumarni menuturkan edukasi terhadap pengendara lalin agar tertib terus dilakukan. Hal ini dilakukan untuk mencegah terjadinya kecelakaan lalu lintas di jalan. Sumarni pun turut memberikan reward bagi pengendara yang sudah peduli akan lalu lintas berupa minyak goreng.Baca juga: Obrolan dan Suara Hati Anak Punk di Subang""Kami tetap melakukan edukasi kepada masyarakat khususnya untuk yang kasat mata hari ini kami memberikan reward berupa minyak goreng. Targetnya pada kali ini ibu-ibu yang sudah taat berlalu lintas, soalnya ibu-ibu kalau dikasih minyak goreng pasti akan senang,"" tutur Sumarni.Simak Video ""Melihat Cara Bripka Reza Sampaikan Pesan Kamtibmas Lewat Wayang""[Gambas:Video 20detik](dir/dir)operasi keselamatan lalu lintas operasi lalu lintas di subang polres subang subang berita jabar",https://www.detik.com/jabar/hukum-dan-kriminal/d-6564466/aksi-robot-transformer-di-subang-ingatkan-pengendara-tertib-lalin
2,        Horor BMW Melaju Lawan Arah Berujung Hilang Nyawa Pemotor    ,"Sabtu, 11 Feb 2023 21:04 WIB","Rizky Adha Mahendra, Ilham Oktafian - detikNews",detikNews,Jakarta,"Jakarta -  Kecelakaan maut mobil BMW dengan sepeda motor terjadi di Jalan Fatmawati Raya, Jakarta Selatan, dini hari tadi, tepatnya di ruas jalan arah Blok M. Kecelakaan ini menewaskan BAS (25), pengemudi motor.Polisi mengatakan penyebab kecelakaan adalah kurang hati-hatinya pengemudi BMW berinisial CN, sehingga menabrak bagian depan sepeda motor.""Tepatnya di depan SPBU Pertamina karena kurang berhati-hati dan konsentrasi hingga menabrak bagian depan kendaraan sepeda motor Honda Vario,"" kata Kepala Unit Lalu Lintas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, Sabtu (11/2/2023).                Bukan tak hanya kurang hati-hati, pengemudi mobil BMW tersebut berkendara melawan arah. Mobil melaju dari arah Blok M-Pondok Labu di ruas jalan arah Pondok Labu-Blok M.Baca juga: Penampakan Mobil BMW yang Tabrak Pemotor hingga Tewas di JakselPolisi menyebut pemotor tewas di tempat dengan luka di wajah. Jenazah korban lalu dievakuasi ke RS Fatmawati.Kecelakaan maut ini terjadi pada pukul 01.50 WIB. Saat detikcom mendatangi lokasi kecelakaan menjelang siang hari, tampak serpihan kendaraan masih ada di tempat kejadian perkara.Di permukaan jalan, terlihat gambar tanda posisi kendaraan yang dibuat polisi lalu lintas dengan cat semprot putih.Lalu bagaimana nasib pengemudi BMW tersebut?""Nggak (luka), iya (masih dimintai keterangan),"" kata Suharno saat dikonfirmasi detikcom. Suharno juga mengatakan CN masih berstatus saksi.Baca juga: Polisi soal BMW Lawah Arah Tabrak Tewas Pemotor: Sopir Kurang Hati-hatiSementara itu, Kasat Lantas Polres Metro Jakarta Selatan Kompol Joko Sutriono, saat dimintai konfirmasi terpisah, menyebut pengemudi BMW tersebut 'diamankan' polisi.""Diamankan Unit Laka,"" ujar Joko.Kecelakaan BMW melawan arah yang menabrak pemotor hingga pemotor tewas di Jl Fatmawati, Jaksel, 11 Februari 2023. (Ilham Oktafian/detikcom)Saksi Sebut Pengemudi BMW Sempat DikejarSatpam SPBU sekitar yang juga saksi mata saat kejadian, Kamil (40), mengatakan pengemudi BMW itu awalnya dikejar pemotor dari arah ITC. Kamil menduga pengemudi BMW itu menabrak pengendara lain sebelumnya, sehingga dikejar pemotor dari arah ITC Fatmawati dan menabrak korban BAS.""Berhenti di sini karena nabrak motor, mobilnya nggak bisa jalan. Iya, mesinnya juga (nggak bisa jalan), radiatornya nggak jalan,"" cerita Kamil kepada detikcom.Simak selengkapnya di halaman berikutnya.Halaman                1                            2                        Selanjutnya bmw lawan arah bmw lawan arah tabrak pemotor kecelakaan maut kecelakaan lalu lintas pemotor tewas pemotor tewas ditabrak bmw jaksel jabodetabek round-up ",https://news.detik.com/berita/d-6564000/horor-bmw-melaju-lawan-arah-berujung-hilang-nyawa-pemotor
3,"        Langgar Markah Jalan, Biker Gresik Tewas Tertabrak Bus Kalisari    ","Sabtu, 11 Feb 2023 19:42 WIB",Jemmi Purwodianto - detikJatim,detikJatim,Gresik,"Gresik - Seorang pengendara motor tewas tertabrak bus Kalisari di Jalan Raya Sekapuk, Ujungpangkah, Gresik. Menurut polisi, pengendara motor tersebut melanggar markah jalan.""Kejadiannya siang tadi, sekitar pukul 11.00 WIB,"" kata Kanit Lakalantas Sat Lantas Polres Gresik Iptu Wiji Mulyono, Sabtu (11/2/2023).Wiji menjelaskan, saat itu pengendara sepeda motor Honda Vario nopol W 6823 KU bernama Muhammad Bachrul Syaiful Uyum (18) melaju dari arah Ujungpangkah ke Bungah. Motor melaju dengan kecepatan sedang. Setibanya di lokasi kejadian, warga Desa Sekapuk itu bermaksud menyalip truk yang ada di depannya. Padahal, markah jalan itu lurus, bukan putus-putus.                Baca juga: Tak Kuat Menanjak, Truk Trailer Mundur Tabrak 2 Mobil di Gresik""Korban melanggar markah jalan karena ingin mendahului truk yang berjalan searah di depannya,"" imbuh Wiji.Saat mendahului truk tersebut, lanjut Wiji, korban mengambil jalan terlalu kanan dengan pandangan terbatas. Korban diduga tidak mengetahui saat bersamaan dari arah berlawanan melaju Bus Kalisari yang dikemudikan Khoirul Asfiyak (42), warga Desa Manduro, Kecamatan Ngoro, Kabupaten Mojokerto.""Korban saat mendahului melewati batas markah dan dalam posisi belum aman, akhirnya benturan (tabrakan) dengan bus Kalisari terjadi,"" tambah Wiji.Baca juga: Kakek Asal Malang Tewas Terlindas Truk Usai Tabrak Trotoar di MojokertoWiji melanjutkan, korban sempat dilarikan ke RSUD Ibnu Sina. Namun, karena luka berat akibat kecelakaan itu, nyawa korban tidak tertolong.""Sempat mendapat perawatan sebelum akhirnya meninggal di rumah sakit,"" tutur Wiji.Perwira polisi dengan dua balok di pundak itu mengimbau kepada pengendara agar lebih berhati-hati dan tidak melanggar peraturan lalu lintas. ""Saya harap ini bisa memberi pelajaran bagi masyarakat agar tertib berlalu lintas. Selain untuk keselamatan diri sendiri, juga untuk keselamatan orang lain,"" imbau Wiji.Simak Video ""Mobil Vs Motor di Sudirman, Pemotor Tewas""[Gambas:Video 20detik](fat/dte)kecelakaan di gresik biker tewas motor tertabrak bus pengendara motor tewas",https://www.detik.com/jatim/berita/d-6563924/langgar-markah-jalan-biker-gresik-tewas-tertabrak-bus-kalisari
4,        Penampakan Mobil BMW yang Tabrak Pemotor hingga Tewas di Jaksel    ,"Sabtu, 11 Feb 2023 18:49 WIB",Ilham Oktafian - detikNews,detikNews,Jakarta,"Jakarta - Mobil BMW bernopol B-1507-WBI yang melaju melawan arah dan menabrak pemotor hingga tewas di Jalan Raya Fatmawati, Jakarta Selatan (Jaksel), ringsek parah di bagian depan. Mobil tersebut terparkir di area Unit Kecelakaan Lalu Lintas (Laka Lantas) Satlantas Polres Metro Jaksel, Jagakarsa.Pantauan detikcom, Sabtu (11/2/2023), bagian bumper depan dan kap depan hancur. Kaca depan mobil berkelir abu-abu ini retak seluruhnya.Bagian samping kanan depan dan kiri depan mobil terlihat sedikit bekas lecet. Namun bagian belakang mobil masih mulus, bahkan pelat nomor kendaraan masih terpasang rapi.                BMW Lawan ArusMobil BMW ini dini hari tadi menabrak sepeda motor di Jalan Raya Fatmawati, Cilandak, Jakarta Selatan (Jaksel), hingga menyebabkan pemotor tewas di tempat. Polisi, berdasarkan keterangan saksi di lokasi, mengatakan mulanya mobil BMW tersebut melaju dari arah utara ke selatan.Mobil BMW, lanjut polisi, melaju di ruas jalan yang berlawanan dengan arah yang semestinya. Mobil itu kemudian menabrak bagian depan motor Honda Vario yang dikendarai korban.""Tepatnya di depan SPBU Pertamina, karena kurang berhati-hati dan konsentrasi, hingga menabrak bagian depan kendaraan Honda Vario,"" kata Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, pagi tadi.Baca juga: Polisi soal BMW Lawah Arah Tabrak Tewas Pemotor: Sopir Kurang Hati-hatiSuharno menuturkan pengendara motor sedang melaju dari arah selatan menuju utara saat ditabrak oleh mobil BMW tersebut. Suharno menerangkan kecelakaan maut ini terjadi pada pukul 01.50 WIB tadi.Akibat ditabrak dari depan oleh pengemudi BMW, Suharno menuturkan, pengendara motor mengalami luka di wajah dan tewas di tempat.""Korban mengalami luka di wajah, meninggal dunia di tempat kejadian perkara (TKP),"" ucap Suharno.Masih kata Suharno, jenazah korban lalu dievakuasi ke RS Fatmawati. ""Dibawa ke RS Fatmawati,"" imbuh dia.Simak juga Video: Mobil Berpelat Polri Tabrak Motor di Jaktim Ternyata Dikendarai Anak Polisi![Gambas:Video 20detik](aud/aud)bmw tabrak motor bmw lawan arah bmw lawan arah tabrak pemotor kecelakaan jaksel jabodetabek ",https://news.detik.com/berita/d-6563819/penampakan-mobil-bmw-yang-tabrak-pemotor-hingga-tewas-di-jaksel
5,        Polisi soal BMW Lawah Arah Tabrak Tewas Pemotor: Sopir Kurang Hati-hati    ,"Sabtu, 11 Feb 2023 16:01 WIB",Rizky Adha Mahendra - detikNews,detikNews,Jakarta,"Jakarta - Mobil BMW melaju melawan arus lalu lintas dan menabrak sepeda motor. Kecelakaan di Jakarta Selatan pada dini hari tadi itu menewaskan pengemudi sepeda motor.""Tepatnya di depan SPBU Pertamina karena kurang berhati-hati dan konsentrasi hingga menabrak bagian depan kendaraan sepeda motor Honda Vario,"" kata Kepala Unit Lalu Lintas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, Sabtu (11/2/2023).Baca juga: Detik-detik BMW Lawan Arah Tabrak Pemotor hingga Tewas di JakselPeristiwa kecelakaan terjadi di Jl Fatmawati, Cilandak, Jakarta Selatan, sekitar pukul 01.50 WIB tadi. Kronologinya, sedan BMW bernomor polisi B-1507-WBI itu melaju dari arah utara ke selatan dengan melawan arus. Dari arah yang berlawanan namun sesuai arus jalan, sepeda motor korban melaju.                ""Berakibat pengendara sepeda motor berinisial BAS (asal) Cilegon berusia 25 tahun meninggal dunia di tempat kejadian perkara serta kedua kendaraan yang terlibat mengalami kerusakan-kerusakan,"" kata Suharno.Baca juga: Cerita Warga soal BMW Lawan Arah Tabrak Pemotor hingga Tewas di JakselNamun polisi masih menyelidiki dugaan penyebab kecelakaan ini. Jenazah korban tewas, yakni pria pengemudi sepeda motor, telah dibawa ke RS Fatmawati. Pengemudi sedan BMW telah diamankan polisi.""Diamankan Unit Laka,"" kata Kasat Lantas Polres Metro Jakarta Selatan Kompol Joko Sutriono saat dihubungi.Simak juga Video: Mobil Berpelat Polri Tabrak Motor di Jaktim Ternyata Dikendarai Anak Polisi![Gambas:Video 20detik](dnu/idh)bmw lawan arah bmw lawan arah tabrak pemotor kecelakaan mobil bmw jakarta selatan jaksel ",https://news.detik.com/berita/d-6563616/polisi-soal-bmw-lawah-arah-tabrak-tewas-pemotor-sopir-kurang-hati-hati
6,"        BMW Lawan Arah Tabrak Pemotor Hingga Tewas di Jaksel, Ini Pelajaran Pentingnya    ","Sabtu, 11 Feb 2023 14:49 WIB",Septian Farhan Nurhuda - detikOto,detikOto,Jakarta,"Jakarta - Mobil BMW dengan nomor polisi B 1507 WBI menabrak motor Honda Vario di Ciladak, Jakarta Selatan, hingga pengendaranya tewas di tempat. Kabarnya, mobil BMW itu sempat lawan arah sebelum menghantam kendaraan korban.Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno mengatakan, menurut keterangan saksi di lokasi, mobil BMW itu mulanya melaju dari arah utara ke selatan. Kendaraan itu kemudian ke luar jalur dan melawan arah, sebelum akhirnya menabrak bagian depan motor korban.Baca juga: Detik-detik BMW Lawan Arah Tabrak Pemotor hingga Tewas di Jaksel""Tepatnya di depan SPBU Pertamina, karena kurang berhati-hati dan konsentrasi, hingga menabrak bagian depan kendaraan Honda Vario,"" ujar Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, dikutip Sabtu (11/2).                Kecelakaan BMW lawan arah tabrak pemotor hingga pemotor tewas, di Jl Fatmawati, Jaksel, 11 Februari 2023. (Ilham Oktafian/detikcom) Foto: Kecelakaan BMW lawan arah tabrak pemotor hingga pemotor tewas, di Jl Fatmawati, Jaksel, 11 Februari 2023. (Ilham Oktafian/detikcom)Suharno menjelaskan, kecelakaan itu terjadi pada pukul 01.50 WIB dini hari. Sementara kondisi mobil BMW pelaku dan motor korban rusak akibat tabrakan tersebut. Menurut polisi, pengemudi BMW itu lalai dan kurang konsentrasi selama di jalan raya.""Dugaan penyebab kecelakaan masih dalam proses penyelidikan,"" ungkap Suharno.Pelajaran dari Kasus BMW Lawan Arah di JakselDirector Training Safety Defensive Consultant (SDCI), Sony Susmana mengatakan, kebiasaan melawan arah merupakan 'penyakit' para pengemudi mobil di jalan raya. Menurutnya, kebiasaan itu sering dilakukan orang yang suka terburu-buru dan tak taat aturan lalu lintas.""Penyakit yang sering dilakukan oleh banyak pengemudi adalah perilaku merasa 'nanggung' daripada harus putar dan ribet. (Mereka mikir) mumpung sepi, cuma dekat, kok, dan lain-lain membuat semua jalan disamaratakan. Bahkan aturan lalin diabaikan meski membahayakan,"" ujar Sony kepada detikOto, Sabtu (11/2).""Penyakit berikutnya 'merasa sehat', fisik enggak siap, mengantuk, di bawah pengaruh obat atau kurang istirahat,"" tambahnya.Ilustrasi mobil lawan arah. Foto: TikTok Meerza DanishMenurut Sony, lebih baik tertib tapi selamat, ketimbang buru-buru dan melawan aturan tapi berakhir celaka.""Tertib lalu lintas dan menjaga kebugaran menjadi salah satu kunci dalam menjaga keselamatan,"" kata Sony. Simak Video ""Lihat Lebih Dekat Wujud Mobil Elvis Presley yang Bangkit dari Kubur!""[Gambas:Video 20detik](sfn/lth)bmw jakarta selatan kecelakaan sony susmana ",https://oto.detik.com/berita/d-6563481/bmw-lawan-arah-tabrak-pemotor-hingga-tewas-di-jaksel-ini-pelajaran-pentingnya
7,        Ini Lokasi Kecelakaan Maut BMW Lawan Arah Tabrak Pemotor di Jaksel    ,"Sabtu, 11 Feb 2023 11:13 WIB",Ilham Oktafian - detikNews,detikNews,Jakarta,"Jakarta - Mobil BMW melawan arus lalu lintas hingga menabrak pengendara sepeda motor terjadi di Jl Fatmawati, Cilandak, Jakarta Selatan (Jaksel). Pemotor itu tewas. Sisa-sisa serpihan kendaraan masih ada di lokasi.Pantauan detikcom di lokasi pada Sabtu (11/2/2023), kecelakaan tersebut terjadi di Jl Fatmawati Raya. Tepatnya di seberang Gang Asem.Baca juga: Detik-detik BMW Lawan Arah Tabrak Pemotor hingga Tewas di JakselKecelakaan tersebut terjadi di sisi kiri Jl Fatmawati Raya atau arah ITC Fatmawati atau Pondok Labu arah Blok M. Lokasi kecelakaan dekat dengan SPBU Pertamina.                Saat ini, sisa-sisa serpihan kendaraan masih ada di lokasi. Mulai serpihan plastik hingga kaca. Bekas kecelakaan juga ditandai dengan garis cat semprot berwarna putih.Kecelakaan BMW melawan arah yang menabrak pemotor hingga pemotor tewas di Jl Fatmawati, Jaksel, 11 Februari 2023. (Ilham Oktafian/detikcom)Masih diselidikiKepala Satuan Lalu Lintas (Kasatlantas) Polres Jakarta Selatan Kompol Joko Sutriono mengkonfirmasi peristiwa tersebut. Dia mengatakan polisi tengah menyelidiki kecelakaan tersebut.""Betul, masih lidik,"" kata Joko saat dimintai konfirmasi detikcom tadi.Baca juga: BMW Lawan Arah Tabrak Pemotor di Fatmawati Jaksel, Pemotor TewasMenurut keterangan polisi, mobil BMW tersebut melaju dari arah utara ke selatan (arah Pondok Labu) namun di jalur lalu lintas yang diperuntukkan bagi kendaraan dari selatan ke utara (arah Blok M).Kecelakaan BMW melawan arah yang menabrak pemotor hingga pemotor tewas di Jl Fatmawati, Jaksel, 11 Februari 2023. (Ilham Oktafian/detikcom)""Tepatnya di depan SPBU Pertamina, karena kurang berhati-hati dan konsentrasi, hingga menabrak bagian depan kendaraan Honda Vario,"" kata Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya.Akibat ditabrak dari depan oleh pengemudi BMW, Suharno menuturkan pengendara motor mengalami luka di wajah dan tewas di tempat.Simak juga Video: Kecelakaan 2 Mobil di Surabaya, Civic Nyemplung ke Selokan[Gambas:Video 20detik](dnu/dnu)bmw lawan arah tabrak pemotor bmw lawan arah kecelakaan lalu lintas kecelakaan maut kecelakaan lalu lintas jabodetabek jaksel ",https://news.detik.com/berita/d-6563224/ini-lokasi-kecelakaan-maut-bmw-lawan-arah-tabrak-pemotor-di-jaksel
8,        Detik-detik BMW Lawan Arah Tabrak Pemotor hingga Tewas di Jaksel    ,"Sabtu, 11 Feb 2023 10:33 WIB",Rizky Adha Mahendra - detikNews,detikNews,Jakarta,"Jakarta - Mobil BMW bernopol B-1507-WBI menabrak sepeda motor di Jalan Raya Fatmawati, Cilandak, Jakarta Selatan (Jaksel), hingga menyebabkan pemotor tewas di tempat kejadian perkara (TKP). Polisi, berdasarkan keterangan saksi di lokasi, mengatakan mulanya mobil BMW tersebut melaju dari arah utara ke selatan.Mobil BMW, lanjut polisi, melaju di ruas jalan yang berlawanan dengan arah yang semestinya. Mobil itu kemudian menabrak bagian depan motor Honda Vario yang dikendarai korban.""Tepatnya di depan SPBU Pertamina, karena kurang berhati-hati dan konsentrasi, hingga menabrak bagian depan kendaraan Honda Vario,"" kata Kanit Laka Lantas Polres Metro Jakarta Selatan AKP Suharno melalui keterangannya, Sabtu (11/2/2023).                Suharno menuturkan pengendara motor sedang melaju dari arah selatan menuju utara saat ditabrak oleh mobil BMW tersebut. Suharno menerangkan kecelakaan maut ini terjadi pada pukul 01.50 WIB tadi.Baca juga: BMW Lawan Arah Tabrak Pemotor di Fatmawati Jaksel, Pemotor TewasAkibat ditabrak dari depan oleh pengemudi BMW, Suharno menuturkan, pengendara motor mengalami luka di wajah dan tewas di tempat.""Korban mengalami luka di wajah, meninggal dunia di tempat kejadian perkara (TKP),"" ucap Suharno.Masih kata Suharno, jenazah korban lalu dievakuasi ke RS Fatmawati. ""Dibawa ke RS Fatmawati,"" imbuh dia.Suharno menambahkan, kondisi mobil BMW pelaku dan motor korban rusak akibat tabrakan ini. Saat ini polisi masih mendalami penyebab pengemudi mobil BMW tersebut tidak konsentrasi.""Dugaan penyebab kecelakaan dalam proses penyelidikan,"" pungkas Suharno.Baca juga: Mobil HRV Kecelakaan Hingga Ringsek di Tol Jagorawi, Diduga Sopir NgantukLihat juga Video: Kecelakaan 2 Mobil di Surabaya, Civic Nyemplung ke Selokan[Gambas:Video 20detik](rdh/aud)kecelakaan maut bmw lawan arah tabrak pemotor pemotor tewas bmw lawan arah kecelakaan lalu lintas jaksel jabodetabek ",https://news.detik.com/berita/d-6563172/detik-detik-bmw-lawan-arah-tabrak-pemotor-hingga-tewas-di-jaksel
9,        Horor Pesawat Jatuh Membelah Taksi yang Melaju di Jalan Tol    ,"Sabtu, 11 Feb 2023 09:12 WIB",Tim detikTravel - detikJabar,detikJabar,Taiwan,"Taiwan - Kecelakaan maut terjadi di Taiwan pada 2015 lalu. Kala itu pesawat TransAsia lepas landas dari Bandara Songhsan di Taiwan, jatuh karena mesin pesawatnya mati hingga membelah taksi yang melintas.Mengutip detikTravel dari lansiran Star Daily, Sabtu (11/2/2023), penerbangan 235 dari maskapai TransAsia lepas landas dari Bandara Songhsan di Taiwan. Penerbangan ini harusnya memakan waktu satu jam dan tiba di Bandara Kinmen, daratan Tiongkok.Namun penerbangan yang terbang pada pukul 11.00 waktu setempat itu mengalami kecelakaan. Hanya beberapa menit setelah lepas landas salah satu dari dua mesin turboprop pesawat ATR 72 itu mengalami kerusakan mekanis.                Baca juga: Heboh Tanda Kiamat Sudah Ada di IsraelProsedur normal dari situasi ini adalah menonaktifkan mesin bermasalah dan menggunakan mesin lainnya untuk melakukan pendaratan darurat di bandara asal.Tetapi, perekam suara di kokpit pesawat dan perekam data penerbangan berkata lain. Penerbangan pada tanggal 4 Februari itu gagal karena kesalahan pilot.Menurut kronologi pada pukul 10.52 pagi, mesin nomor dua pesawat, di sisi kanan pesawat, mengalami pemadaman listrik yang mengakibatkan hilangnya hampir selurut tenaga.Kurang dari satu menit kemudian, kapten Liao Chien-tsung dan co-pilotnya Liu Tze-chung malah mematikan mesin nomor satu. Padahal mesin ini masih berfungsi dengan baik.Miskomunikasi terdengar dari perekam data penerbangan.Dengan kedua mesin yang mati, pesawat di ketinggian 1.630 kaki itu mulai jatuh. Sebuah perekam dashboard mobil netizen merekam pesawat jatuh tepat di depannya.Pesawat itu terbang menukik melewati sebuah jalan layang. Di depan mobil tersebut terlihat taksi berwarna kuning.Sayap pesawat mulai oleng dan menyentuh taksi tersebut. Taksi yang melaju dengan kecepatan penuh itu dibelah oleh sayap pesawat.Baca juga: Wanita Muda Tewas Diserang Hiu di AustraliaAtap taksi terbelah dua, taksi itu mencoba untuk menyelamatkan diri setelah lepas dari sayap pesawat. Ajaibnya, dua orang di dalam mobil itu hanya mengalami luka ringan.""Mayday, mayday, mesin mati,"" pesan radio terakhir dari kokpit ke kontrol lalu lintas udara.Pesawat TransAsia jatuh ke Sungai Keelung dalam posisi terbalik. Dari 58 penumpang, hanya 15 orang yang selamat.Artikel ini telah tayang di detikTravel dengan judul Pilot Salah Matikan Mesin, Pesawat Ini Jatuh dan Belah Taksi Jadi Dua(yum/yum)kabar internasional berita jabar taiwan pesawat jatuh di taiwan kecelakaan pesawat",https://www.detik.com/jabar/berita/d-6561868/horor-pesawat-jatuh-membelah-taksi-yang-melaju-di-jalan-tol
