,Judul,Tanggal,Penulis,Label,Kota,Deskripsi,Url
0,        Kondisi Terkini Mahasiswa FKG USU Korban Kecelakaan Maut di Medan    ,"Senin, 09 Jan 2023 12:55 WIB",Goklas Wisely - detikSumut,detikSumut,Medan,"Medan - Dua mahasiswa FKG USU yang mengalami kecelakaan maut di Jalan Imam Bonjol, Medan kini masih dirawat di rumah sakit untuk menjalani perawatan medis.Kepala Humas, Promosi dan Protokol USU, Amalia Meutia mengatakan ketiga mahasiswa FKG tersebut, pertama bernama Frederick Jeremia Ebenezer Hutahean (18) meninggal dunia di lokasi. Frederick merupakan warga Jalan Siliwangi, Kabupaten Humbang Hasundutan.""Kedua ada Daniel Rafael Batubara (18), asal Medan. Kondisinya pelipis mata sobek. Tapi sudah dioperasi. Kini dia masih di ruang ICU RS Siloam,"" kata Amalia kepada detikSumut, Senin (9/1/2023).                ""Ketiga, Naufal Aulia Rahman (18) asal Aceh Singkil. Kondisinya tulang selangka patah. Kini masih dirawat di RS USU,"" tambah Amalia.Baca juga: Viral Preman Palak Penjual Mie Pecal di Medan, Ini TampangnyaAmalia juga mengungkapkan dari pihak FKG akan memberikan bantuan kepada para korban yang masih dirawat hari ini.""Kalau untuk studinya nanti yang mengurus pihak fakultas. Sementara untuk UAS sudah selesai,"" sebutnya.Diketahui, ketiganya mengalami kecelakaan pada Sabtu (7/1). Ketiganya berkendara menggunakan mobil Honda Jazz BK 1043 ZS. Ketiga korban awalnya bakar - bakar bersama rekan mereka di daerah Setia Budi, Medan.Kemudian, pulang sekitar pukul 04.00 WIB melawati Jalan Imam Bonjol. Dalam perjalanan mereka menabrak pembatas jalan hingga pagar. Alhasil, yang ditumpangi terguling dan berhenti di tangga Tiara Convention Hall, Medan.Akibat kecelakaan tersebut, Federick tewas ditempat karena tertancap besi pagar. Sementara, Daniel dan Naufal langsung dibawa ke rumah sakit.Baca juga: Detik-detik Mengerikan Mahasiswa USU Kecelakaan Lalu Tewas Tertancap di PagarSimak Video ""Bukan Tengah Malam, Ini Jam-jam Rawan Kecelakaan""[Gambas:Video 20detik](nkm/nkm)medan kecelakaan kecelakaan lalu lintas laka lantas kecelakaan maut",https://www.detik.com/sumut/berita/d-6505668/kondisi-terkini-mahasiswa-fkg-usu-korban-kecelakaan-maut-di-medan
1,        Penampakan Truk Tabrak Barrier Tewaskan 1 Orang di Tol Jomo: Hancur!    ,"Senin, 09 Jan 2023 12:19 WIB",Denza Perdana - detikJatim,detikJatim,Jombang,"Jombang - Sebuah truk menabrak barier di Tol Jombang-Mojokerto. Akibat tabrakan tersebut kondisi truk tersebut hancur hingga nyaris terbelah.Kanit PJR 3 Polda Jatim AKP Imam Imam Sayfudin Rodji menyebutkan kecelakaan truk bernopol W 8420 UF itu terjadi di KM 672+O00/ B ruas Tol Jombang-Mojokerto pukul 07.50 WIB.Berdasarkan foto kondisi truk yang diabadikan oleh polisi, tabrakan itu diduga sangat keras. Sebagian badan truk sampai menembus jajaran barrier pembatas tol.                Terlihat bahwa kondisi kepala truk itu remuk. Sementara sebagian bak truk yang terbuat dari kayu tampak tercerai-berai hingga warganet menyebutnya sigar atau terbelah.Baca juga: Truk Tabrak Barier di Tol Jombang-Mojokerto, 1 Orang Tewas""Beh, beh. Iku kecepatan piro iku sampe sigar ngunu (wih, kecepatan berapa itu sampai terbelah begitu)?"" Ujar Agung dalam unggahan di medsos.Akibat kecelakaan ini, sopir truk bernama Abdul Rasek (27) warga Kampung Asta berris RT 10, RW 03 Kelurahan Gebangan, Kecamatan Kapongan, Situbondo tewas.Sedangkan kernetnya bernama Rizal Pratama (24) warga Desa Wriginnanom, Kecamatan Penarikan, Situbondo mengalami luka berat. Baik jenazah maupun korban luka dievakuasi ke RSUD Jombang.Imam menyebutkan bahwa berdasarkan analisis kejadian yang dilakukan pihak PJR 3 Polda Jatim, kecelakaan diduga akibat pengemudi yang mengantuk.Baca juga: Truk Tabrak Barrier Tol Jombang-Mojokerto 1 Tewas, Sopir Diduga Mengantuk""Diduga pengemudi Kendaraan truk nopol W 8420 UF mengantuk. Sehingga terjadi kecelakaan lalu lintas,"" ujar Imam kepada detikJatim, Senin (9/1/2023).Meski demikian Imam belum bisa memperkirakan berapa kecepatan lajur truk itu sebelum menabrak barrier di Tol Jomo. Ia mengimbau pengendara lain lebih berhati-hati.Dampak kecelakaan tunggal itu, lalu lintas di tol sempat tersendat. Pihak kepolisian melakukan penguraian kepadatan lalu lintas.Upaya evakuasi kendaraan truk yang hancur itu juga sudah dilakukan.Ikuti berita menarik lainnya di Google News.Simak Video ""Detik-detik Truk Bawa Rombongan Anak Terguling di Banjarnegara""[Gambas:Video 20detik](dpe/iwd)kecelakaan truk kecelakaan truk di tol kecelakaan di tol kecelakaan di tol jombang kecelakaan di tol jombang-mojokerto",https://www.detik.com/jatim/berita/d-6505591/penampakan-truk-tabrak-barrier-tewaskan-1-orang-di-tol-jomo-hancur
2,"        Truk Tabrak Barrier Tol Jombang-Mojokerto 1 Tewas, Sopir Diduga Mengantuk    ","Senin, 09 Jan 2023 11:33 WIB",Denza Perdana - detikJatim,detikJatim,Jombang,"Jombang - Truk mengalami kecelakaan hingga remuk usai menabrak pembatas jalan atau barrier di Tol Jombang-Mojokerto. Kecelakaan ini diduga karena sopir mengantuk.Kecelakaan truk bernopol W 8420 UF tersebut terjadi di ruas KM 672+O00/ B ruas Tol Jombang-Mojokerto pukul 07.50 WIB.Kanit PJR 3 Polda Jatim AKP Imam Imam Sayfudin Rodji menyebutkan bahwa kecelakaan tunggal itu diduga terjadi karena sopir mengantuk.                Baca juga: Truk Tabrak Barier di Tol Jombang-Mojokerto, 1 Orang Tewas""Diduga pengemudi kendaraan truk nopol W 8420 UF mengantuk sehingga terjadi kecelakaan lalu lintas,"" ujarnya kepada detikJatim, Senin (9/1/2023).Akibat kecelakaan tersebut sopir truk yang bernama Abdul Rasek (27) warga Gebangan, Kapongan, Situbondo tewas.""Sopirnya meninggal. Sedangkan kernetnya mengalami luka berat,"" ujar Imam.Adapun kernet yang mengalami luka berat adalah Rizal Pratama (24) warga Desa Wriginanom, Penarikan, Situbondo.Baca juga: Dua Truk Adu Banteng di Gresik, Satu Sopir TewasJenazah korban dan 1 korban lain yang mengalami luka berat telah dievakuasi ke RSUD Jombang.Dampak kecelakaan tunggal itu, lalu lintas di tol sempat tersendat. Pihak kepolisian melakukan penguraian kepadatan lalu lintas.Upaya evakuasi kendaraan truk yang hancur itu juga tengah dilakukan.Ikuti berita menarik lainnya di Google News.Simak Video ""Detik-detik Truk Bawa Rombongan Anak Terguling di Banjarnegara""[Gambas:Video 20detik](dpe/iwd)kecelakaan truk kecelakaan truk di tol kecelakaan di tol kecelakaan di tol jombang kecelakaan di tol jombang-mojokerto",https://www.detik.com/jatim/berita/d-6505498/truk-tabrak-barrier-tol-jombang-mojokerto-1-tewas-sopir-diduga-mengantuk
3,"        Truk Tabrak Barier di Tol Jombang-Mojokerto, 1 Orang Tewas    ","Senin, 09 Jan 2023 11:10 WIB",Denza Perdana - detikJatim,detikJatim,Jombang,"Jombang - Kecelakaan tunggal terjadi di Tol Jombang-Mojokerto. Truk menabrak barier atau pembatas jalan hingga remuk. Sopir diketahui tewas.Kecelakaan truk bernopol W 8420 UF tersebut terjadi di ruas KM 672+O00/ B ruas Tol Jombang-Mojokerto pukul 07.50 WIB.Baca juga: Dua Truk Adu Banteng di Gresik, Satu Sopir TewasKanit PJR 3 Polda Jatim AKP Imam Imam Sayfudin Rodji membenarkan terjadinya kecelakaan itu.                Imam juga menyebutkan bahwa sopir truk bernama Abdul Rasek (27) warga Gebangan, Kapongan, Situbondo meninggal.""Sopirnya meninggal. Sedangkan kernetnya mengalami luka berat,"" ujar Imam kepada detikJatim, Senin (9/1/2023).Baca juga: Truk Tabrak Motor Lalu Hantam Toko Oleh-oleh di Probolinggo, 2 Orang TewasAdapun kernet yang mengalami luka berat adalah Rizal Pratama (24) warga Desa Wriginanom, Penarikan, Situbondo.Dampak terjadinya kecelakaan tunggal tersebut, lalu lintas di tol sempat tersendat. Pihak kepolisian melakukan pengaturan lalu lintas dan upaya evakuasi.Sedangkan jenazah korban dan 1 korban lain yang mengalami luka berat telah dievakuasi ke RSUD Jombang.Simak Video ""Detik-detik Truk Bawa Rombongan Anak Terguling di Banjarnegara""[Gambas:Video 20detik](dpe/dte)kecelakaan truk kecelakaan truk di tol kecelakaan di tol jombang kecelakaan di tol jombang-mojokerto",https://www.detik.com/jatim/berita/d-6505429/truk-tabrak-barier-di-tol-jombang-mojokerto-1-orang-tewas
4,        21 Orang Tewas dalam Kecelakaan Bus di Perbatasan Kenya-Uganda    ,"Senin, 09 Jan 2023 04:10 WIB",Farih Maulana Sidik - detikNews,detikNews,Kampala,"Kampala - Sebanyak 21 orang tewas ketika sebuah bus yang menuju ibu kota Kenya, Nairobi, jatuh tak lama setelah melintasi perbatasan dari Uganda. Kecelakaan itu menambah daftar terbaru dalam serentetan kecelakaan lalu lintas mematikan baru-baru ini.Dilansir AFP, Senin (9/1/2023), Pemerintah Uganda berencana mengeluarkan langkah-langkah baru untuk meningkatkan keselamatan jalan raya setelah lonjakan kecelakaan di negara Afrika Timur itu selama periode hari raya. Juru bicara kepolisian daerah Uganda Rogers Taitika menyebut 21 orang dipastikan tewas setelah kecelakaan pada Sabtu (7/1) malam. Mereka yang tewas sebagian besar adalah orang Kenya, tetapi juga termasuk 8 orang Uganda.Baca juga: Tabrakan Bus di Senegal, 38 Orang Tewas dan 87 Luka-lukaBus yang mengalami kecelakaan diketahui sedang melakukan perjalanan dari kota Mbale di Uganda timur ke Nairobi dan jatuh di kota Lwakhakha, Kenya, tepat di seberang perbatasan dari kota Uganda dengan nama yang sama.                ""49 orang lainnya terluka,"" kata Taitika, menambahkan bahwa pengemudi tampaknya kehilangan kendali membuat kendaraannya keluar dari jalan.""Temuan awal menunjukkan adanya kasus overspeeding yang dilakukan oleh sopir bus,"" tambahnya.Pada 6 Januari, sebuah bus penumpang menabrak sebuah truk stasioner di dekat kota Gulu, Uganda utara. Insiden saat itu diketahui menewaskan 16 orang.Polisi Uganda mengatakan 104 kecelakaan lalu lintas tercatat hanya dalam tiga hari selama periode Tahun Baru antara 30 Desember hingga 1 Januari dengan 35 orang tewas dan 114 luka-luka, selain korban kecelakaan Januari terbaru.Menteri Keamanan Jim Muhwezi, berbicara pada pemakaman tiga saudara kandung yang tewas dalam kecelakaan pada 2 Januari, mengatakan pemerintah sedang menyusun langkah-langkah keamanan baru untuk mencoba mengurangi jumlah kecelakaan.Baca juga: Warga Cirebon Tewas Akibat Tabrakan Beruntun di Pantura SubangSimak juga 'Penampakan Uang Miliaran Berhamburan di Sumbar gegara Mobil Terbalik':[Gambas:Video 20detik](fas/fas)kecelakaan kecelakaan maut kecelakaan lalu lintas uganda kenya ",https://news.detik.com/internasional/d-6505070/21-orang-tewas-dalam-kecelakaan-bus-di-perbatasan-kenya-uganda
5,"        Tabrakan Bus di Senegal, 38 Orang Tewas dan 87 Luka-luka    ","Minggu, 08 Jan 2023 22:17 WIB",Farih Maulana Sidik - detikNews,detikNews,Dakar,"Dakar - Dua bus bertabrakan di dekat kota Kaffrine, Senegal tengah. Akibat kecelakaan tersebut, sedikitnya 38 orang tewas dan puluhan lainnya luka-luka.Dilansir AFP, Minggu (8/1/2023), kecelakaan maut di Senegal itu terjadi pada hari ini. Presiden Senegal, Macky Sall, mengumumkan tiga hari berkabung nasional mulai Senin besok akibat insiden yang menewaskan puluhan orang dan banyak yang mengalami luka serius.""Saya sangat sedih dengan kecelakaan lalu lintas yang tragis itu,"" kata Sall di Twitter.                ""Saya menyampaikan belasungkawa yang tulus kepada keluarga para korban dan berharap pemulihan yang cepat bagi yang terluka,"" tambahnya.Jaksa Senegal mengatakan dalam pernyataan terpisah bahwa ada 38 orang tewas dalam tabrakan bus tersebut.Baca juga: Sejumlah Buruh Migran Ingin Menetap di Qatar Setelah Piala Dunia UsaiJaksa Penuntut Umum, Cheikh Dieng, mengatakan bahwa penyelidikan awal menunjukkan kecelakaan itu disebabkan ketika sebuah bus yang ditugaskan untuk angkutan umum penumpang, mengalami ban pecah dan keluar lintasannya. Kemudian bus itu bertabrakan dengan bus lain yang datang dari arah berlawanan arah.Kolonel Cheikh Fall, yang bertanggung jawab atas operasi Brigade Pemadam Kebakaran Nasional negara Afrika Barat itu, mengatakan bahwa 38 orang tewas dan 87 lainnya luka-luka dalam kecelakaan itu.Kecelakaan itu terjadi sekitar pukul 03.15 waktu setempat, Minggu pagi. Fall menambahkan bahwa semua korban telah dievakuasi ke rumah sakit dan pusat medis di Kaffrine.""Puing-puing dan bus yang hancur sejak saat itu telah dibersihkan dan lalu lintas normal telah dilanjutkan di jalan,"" katanya.""Gubernur dan pejabat setempat telah mengunjungi tempat kejadian,"" tambahnya.Presiden Sall menyebut setelah masa berkabung nasional selesai, dewan pemerintah akan diadakan untuk mengambil tindakan tegas terhadap keselamatan jalan.Baca juga: Rapat Parlemen Senegal Ricuh, Anggota Adu Jotos hingga Lempar Kursi(fas/dwia)kecelakaan kecelakaan lalu lintas kecelakaan maut tabrakan bus senegal ",https://news.detik.com/internasional/d-6504971/tabrakan-bus-di-senegal-38-orang-tewas-dan-87-luka-luka
6,"        Kecelakaan Truk Vs Motor di Grobog Wonogiri, Pria Sukoharjo Tewas    ","Minggu, 08 Jan 2023 17:26 WIB",Muhammad Aris Munandar - detikJateng,detikJateng,Wonogiri,"Wonogiri - Kecelakaan maut antara sepeda motor dengan truk terjadi di Jalan Raya Wonogiri-Wuryantoro. Akibat kecelakaan itu pengendara motor warga Kabupaten Sukoharjo tewas di lokasi kejadian.""Kejadiannya (kecelakaan) tadi sekitar pukul 13.00 WIB. Korban meninggal satu orang,"" kata Kasatlantas Polres Wonogiri AKP Maryono kepada detikJateng, Minggu (8/1/2023).Ia mengatakan, lokasi kecelakaan itu berada di Jalan Raya Wonogiri-Wuryantoro, tepatnya di Dusun Grobog RT 001/RW 002 Kelurahan Wuryorejo, Kecamatan Wonogiri, Kabupaten Wonogiri.                Sementara itu korban meninggal dunia adalah seorang laki-laki berinisial M (70), warga Dusun Badan Desa Sanggrahan Kecamatan Grogol Kabupaten Sukoharjo. Korban mengendarai sepeda motor Honda Supra X dengan nomor polisi AD-5299-MB.Baca juga: Pemotor Tewas Tertabrak Bus di Piyungan Bantul Usai JatuhMaryono menjelaskan, kendaraan yang terlibat dalam kecelakaan itu adalah Honda Supra X yang dikendarai korban dengan Truk Mitshubishi Light Truck FE349 dengan nomor polisi AD-9794-KA. Adapun pengemudi truk adalah S (28) warga Koripan Desa Kedungombo, Kecamatan Baturetno, Wonogiri.""Korban (pengendara motor) mengalami luka di bagian kepala. Meninggal dunia di lokasi kejadian dan dibawa ke RSUD Wonogiri,"" ungkap dia.Ia mengatakan, kecelakaan itu bermula saat sepeda motor Honda Supra X melaju dari arah selatan (Wuryantoro) menuju utara (Wonogiri). Setelah sampai di lokasi kejadian, dari arah berlawanan melaju truk Mitshubishi Light Truck.Baca juga: Laka Maut Truk-Motor Masuk Jurang Kulon Progo, Warga: Suara Keras Banget""Truk berjalan ke kanan menyalip kendaraan tak dikenal sehingga melebihi marka jalan. Dikarenakan jarak yang dekat kemudian terjadi benturan, maka terjadilah laka lantas. Kondisi jalan lurus tanjakan-turunan dan terdapat marka jalan terputus-putus,"" kata Maryono.Atas kejadian itu, Maryono mengimbau kepada seluruh pengendara agar lebih hati-hati dalam berkendara dan selalu mentaati rambu-rambu lalu lintas.Simak Video ""Ganjar Ingatkan Bahaya Hoaks Saat Hadiri Haul KH Dalhar Watucongol""[Gambas:Video 20detik](apl/sip)berita jateng kecelakaan kecelakaan di wonogiri pemotor tewas",https://www.detik.com/jateng/berita/d-6504616/kecelakaan-truk-vs-motor-di-grobog-wonogiri-pria-sukoharjo-tewas
7,        Polisi Sebut Tak Ada Alkohol pada Korban Kecelakaan Mahasiswa USU    ,"Minggu, 08 Jan 2023 13:02 WIB",Goklas Wisely - detikSumut,detikSumut,Medan,"Medan - Peristiwa nahas menimpa tiga mahasiswa Fakultas Kedokteran Gigi (FKG) USU. Mereka mengalami kecelakaan di Jalan Imam Bonjol, Kota Medan sepulang bakar - kabar ikan bersama teman- temannya.Diketahui, ketiga mahasiswa itu berinisial FJE (18), NA (18), dan DB (18). Ketiganya berkendara menggunakan mobil Honda Jazz BK 1043 ZS dan terlibat kecelakaan tunggal di Jalan Imam Bonjol Medan. Satu tewas dalam kecelakaan tersebut, dua lainnya luka. ""Sebelumnya mereka itu bakar- bakar ikan di tempat kawannya (kawasan Setia Budi, Medan). Kalau untuk alkohol tidak ada kita dapati,"" kata Kanit Lantas Polrestabes Medan Baru, Iptu MP Sidauruk kepada detikSumut, Minggu (8/1/2023).                Kejadian tersebut berlangsung pada Sabtu (7/1). Setelah bakar - bakar ikan, ketiganya pun hendak pulang ke kos melalui Jalan Imam Bonjol. Kala itu sudah subuh sekitar 04.00 WIB.Saat itu, FJE sebagai sopir membawa mobil dengan cukup kencang hingga menabrak pembatas jalan. Alhasil, mobil mereka terguling dan berhenti di tangga Tiara Convention Hall, Medan.Baca juga: Pencuri di Rumah Pendeta GBKP Saat Natal di Medan Ditembak!Akibat dari peristiwa itu, FJE tewas seketika karena kepalanya tertancap besi pagar. Sementara NA diduga patah lengan tangan sebelah kiri dibawa ke RS USU. DB luka kepala belakang dan dibawa ke RS Siloam.""FJE langsung dibawa ke RS Bhayangkara Medan. Dugaan sementara penyebab kecelakaan karena laju kendaraan,"" sebutnya.Berangkat dari peristiwa itu, pihak USU mengucapkan turut berduka cita atas meninggalnya FJE. Hal itu disampaikan oleh Kepala Humas, Promosi dan Protokol USU, Amalia Meutia kepada detikSumut, Minggu (8/1).""Kita turut berduka cita atas peristiwa yang menimpa ketiganya. Memang peristiwa itu berlangsung di luar kampus USU dan jam kuliah. Sehingga USU dalam hal ini mengingatkan kepada mahasiswa USU lainnya agar selalu berhati-hati dalam berkendara dan mematuhi segala aturan yang berlaku. Agar terhindar dari kecelakaan,"" tutupnya.Baca juga: Korban Kecelakaan Tewas Tertancap Pagar Mahasiswa Baru FKG USUSimak Video ""Bukan Tengah Malam, Ini Jam-jam Rawan Kecelakaan""[Gambas:Video 20detik](nkm/nkm)medan kecelakaan kecelakaan lalu lintas laka lantas mobil terguling",https://www.detik.com/sumut/berita/d-6504313/polisi-sebut-tak-ada-alkohol-pada-korban-kecelakaan-mahasiswa-usu
8,        Pemobil Tewas Tertancap Pagar Usai Kecelakaan Mahasiswa Baru FKG USU    ,"Minggu, 08 Jan 2023 12:27 WIB",Goklas Wisely - detikNews,detikNews,Jakarta,"Jakarta - Tiga pria mengalami kecelakaan di Jalan Imam Bonjol, Kota Medan. Ketiga pria itu merupakan mahasiswa Fakultas Kedokteran Gigi Universitas Sumatera Utara (USU).""Iya jadi semalam kita coba untuk tanyakan ke Dekan FKG USU. Ternyata benar ketiga korban itu dari FKG USU dan masih sama-sama stambuk 2022. Masih baru jadi mahasiswa,"" kata Kepala Humas, Promosi, dan Protokol USU, Amalia Meutia, dikutip detikSumut, Minggu (8/1/2023).Baca juga: Ngerinya Kecelakaan di Medan Bikin Sopir Tewas Tertancap PagarDalam kecelakaan itu, satu korban berinisial FJE (18) tewas di lokasi kecelakaan lantaran tertancap pagar. Sementara dua korban, yakni NA (18) dan DB (18), tengah menjalani perawatan di RS. Kecelakaan ini dipicu setelah menabrak pembatas jalan.                Amalia pun turut berduka atas peristiwa yang menimpa ketiganya. Hanya, lanjutnya, peristiwa itu berlangsung di luar kampus USU dan jam kuliah.""USU dalam hal ini mengingatkan kepada mahasiswa lainnya agar selalu berhati-hati dalam berkendara dan mematuhi segala aturan yang berlaku. Agar terhindar dari kecelakaan,"" sebutnya.Baca selengkapnya di sini.Baca juga: Mahasiswa Tewas Tertancap Pagar Usai Mobil Tabrak Pembatas Jalan di MedanSimak juga 'Warga Cianjur Tewas Tertimpa Tembok Saat Bersihkan Puing':[Gambas:Video 20detik](idn/idn)medan kecelakaan kecelakaan lalu lintas kecelakaan mobil ",https://news.detik.com/berita/d-6504277/pemobil-tewas-tertancap-pagar-usai-kecelakaan-mahasiswa-baru-fkg-usu
9,        Korban Kecelakaan Tewas Tertancap Pagar Mahasiswa Baru FKG USU    ,"Minggu, 08 Jan 2023 11:55 WIB",Goklas Wisely - detikSumut,detikSumut,Medan,"Medan - Ketiga pria yang mengalami kecelakaan di Jalan Imam Bonjol, Kota Medan ternyata mahasiswa Universitas Sumatera Utara (USU). Ketiganya, kuliah di Fakultas Kedokteran Gigi USU.""Iya jadi semalam kita coba untuk tanyakan ke dekan FKG USU. Ternyata benar ketiga korban itu dari FKG USU dan masih sama - sama stambuk 2022. Masih baru jadi mahasiswa,"" kata Kepala Humas, Promosi dan Protokol USU, Amalia Meutia kepada detikSumut, Minggu (8/1/2023).Dia menjelaskan sejauh ini informasi yang didapatkan dari ketiganya, satu meninggal dunia sementara dua lagi masih mendapat perawatan di rumah sakit.                Amalia pun turut berduka atas peristiwa yang menimpa ketiganya. Hanya saja, lanjutnya, peristiwa itu berlangsung di luar kampus USU dan jam kuliah.""USU dalam hal ini mengingatkan kepada mahasiswa lainnya agar selalu berhati - hati dalam berkendara dan mematuhi segala aturan yang berlaku. Agar terhindar dari kecelakaan,"" sebutnya.Baca juga: Mobil Kecelakaan Bikin Sopir Nancep di Pagar gegara Kecepatan TinggiDiketahui, ketiga mahasiswa itu berinisial FJE (18), NA (18), dan DB (18). Ketiganya berkendara menggunakan mobil Honda Jazz BK 1043 ZS.Mereka menabrak pembatas jalan sehingga mobilnya terguling sampai di sekitar tangga Tiara Convention Hall pada Sabtu (7/1/2023) sekitar pukul 04.00 WIB.Kanit Lantas Polsek Medan Baru Iptu MP Sidauruk menjelaskan akibat kejadian itu FJE sebagai sopir meninggal dunia. Sementara NA dan DB dilarikan ke rumah sakit.""FJE tewas di tempat karena kepalanya tertancap pagar. NA diduga patah tangan sebelah kiri dan dibawa ke RS USU. DB luka kepala belakang dibawa ke RS Siloam,"" ucapnya.Baca juga: Ngerinya Kecelakaan di Medan Bikin Sopir Tewas Tertancap PagarSimak Video ""Bukan Tengah Malam, Ini Jam-jam Rawan Kecelakaan""[Gambas:Video 20detik](nkm/nkm)medan kecelakaan kecelakaan lalu lintas tewas kecelakaan mobil sumut",https://www.detik.com/sumut/berita/d-6504247/korban-kecelakaan-tewas-tertancap-pagar-mahasiswa-baru-fkg-usu
10,        Mobil Pajero Terguling di Jembatan Besi Jakbar    ,"Minggu, 08 Jan 2023 04:23 WIB",Lisye Sri Rahayu - detikNews,detikNews,Jakarta,"Jakarta - Mobil Pajero mengalami kecelakaan tunggal hingga terbalik di wilayah Jembatan Besi, Tambora, Jakarta Barat (Jakbar). Belum diketahui penyebab dari kecelakaan itu.Kecelakaan ini diinformasikan oleh TMC Polda Metro Jaya melalui akun Twitternya. Petugas telah menangani kecelakaan ini.""02.39 kecelakaan mobil terguling di kawasan Jembatan Besi Tambora Jakarta Barat, saat ini sudah dalam penanganan petugas Polri,"" tulis TMC Polda Metro Jaya dalam akun Twitternya, Minggu (8/1/2023).                Baca juga: Warga Tangerang Pembobol Kartu Kredit Miliaran Rupiah Dibui 5 TahunNTMC Polri membenarkan adanya kecelakaan ini. Petugas juga sudah belum ada informasi mengenai penyebab kecelakaan ini.""Untuk informasinya kecelakaan mobil memang terjadi, kecelakaan tunggal, informasinya sudah ditangani petugas. Untuk penyebab belum diinformasikan, informasinya terguling saja, kecelakaan tunggal,"" kata petugas call center NTMC Polri, Jati, saat dihubungi pukul 04.11 WIB.Jati menyebut tak ada kemacetan lalu lintas imbas kecelakaan ini. Petugas disebut telah selesai melakukan penanganan.""Ini kecelakaan terjadi pukul 2.39 jadi tidak ada kemacetan informasinya, jadi langsung ditangani petugas,"" jelasnya.Pajero terguling di Tambora (Foto: Twitter TMC Polda Metro Jaya)Baca juga: Cerita Paniknya Warga Saat 2 Orang Dibakar di Jakut, Api Sambar Terpal PKLSimak juga 'Penampakan Uang Miliaran Berhamburan di Sumbar gegara Mobil Terbalik':[Gambas:Video 20detik](lir/lir)kecelakaan pajero jembatan besi tambora jakarta barat jabodetabek ",https://news.detik.com/berita/d-6503948/mobil-pajero-terguling-di-jembatan-besi-jakbar
