Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.47,0.35,-0.18,0.4,0.12,0.15,0.21,-0.05,0.11,0.13,0.36,0.37,2.48
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.61,0.36,0.15,0.32,0.22,0.18,0.24,-0.08,0.16,0.12,0.81,0.22,3.36
Kota Sukabumi,0.38,0.31,0.15,0.48,0.19,0.16,0.24,-0.02,0.23,0.05,0.33,0.19,2.72
Kota Bandung,0.38,0.26,-1.5,0.32,0.1,0.14,0.23,-0.02,0.11,0.08,0.22,0.32,0.63
Kota Cirebon,1.17,0.36,0.17,0.37,0.15,0.2,0.22,-0.11,0.18,0.04,0.16,0.29,3.22
Kota Bekasi,0.41,0.39,0.13,0.56,0.08,0.22,0.21,-0.08,0.08,0.14,0.41,0.54,3.14
Kota Depok,0.54,0.37,0.16,0.23,0.11,0.07,0.21,-0.03,0.09,0.15,0.26,0.27,2.49
Kota Tasikmalaya,0.41,0.41,0.07,0.63,0.27,0.04,0.13,-0.04,0.34,0.01,0.26,0.27,2.84
