Judul,Tanggal,Penulis,Label,Kota,Content,Url
"
        Mobil Fortuner Nyemplung ke Kali di Tebet gegara Sopir Mau Ambil HP!    ","Kamis, 23 Jun 2022 09:51 WIB",Mei Amelia R - detikNews,detikNews,Jakarta,"Jakarta -  Mobil Toyota Fortuner bernopol B-1611-TJE nyemplung ke kali di kawasan Tebet, Jakarta Selatan. Polisi mengungkap penyebab kecelakaan itu gara-gara sopir hendak mengambil ponsel.""Sementara penyebab kecelakaan menurut keterangan saksi yang berada di dalam mobil, pengemudi hendak mengambil HP,"" jelas Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Jamal Alam dalam keterangan kepada detikcom, Kamis (23/6/2022).Jamal menambahkan saat itu pengemudi Fortuner, pria berinisial OLP (21), mendapat panggilan masuk melalui ponselnya. OLP kemudian mencoba mengambil ponsel yang disimpan di jok kiri.


    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Mobil Fortuner Nyemplung ke Kali di Tebet, Sopir dan 2 Penumpang Terluka""Ada panggilan masuk yang terletak di jok kursi penumpang sebelah kiri,"" katanya.Kondisi lokasi kejadian Jl Abdullah Syafe'i agak menurun dan menikung. Pengemudi Fortuner kemudian hilang kendali.""Kondisi jalan agak menurun dan menikung, pada saat yang bersamaan hilang kendali/konsentrasi, kendaraan oleng dan menabrak pembatas jalan sehingga terjungkal masuk ke sungai,"" jelas Jamal.Baca juga: Byuur! Sapi di Klaten Ini Malah Nyemplung Sumur Saat Akan DimandikanBaca di halaman selanjutnya: pengemudi dan dua penumpangnya selamat.Simak Video 'Mobil Fortuner Nyemplung ke Kali di Tebet, Begini Evakuasinya':[Gambas:Video 20detik]



Halaman

                1            

                2            


            Selanjutnya 





mobil nyemplung fortuner nyemplung ke kali kecelakaan lalu lintas jabodetabek polda metro jaya",https://news.detik.com/berita/d-6142323/mobil-fortuner-nyemplung-ke-kali-di-tebet-gegara-sopir-mau-ambil-hp
"
        Mobil Fortuner Nyemplung ke Kali di Tebet, Sopir dan 2 Penumpang Terluka    ","Kamis, 23 Jun 2022 09:04 WIB",Mei Amelia R - detikNews,detikNews,Jakarta,"Jakarta - Mobil Toyota Fortuner bernopol B-1611-TJE nyemplung ke kali di kawasan Tebet, Jakarta Selatan. Kejadian ini mengakibatkan satu orang penumpang terluka.Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Jamal Alam mengatakan peristiwa itu terjadi pada Kamis (23/6/2022) sekitar pukul 04.00 WIB.""Korban luka laki-laki inisial MG (23). Luka ringan dan dirawat di Puskesmas Tebet,"" ujar Jamal dalam keterangan kepada wartawan, Kamis (23/6/2022).


    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Penumpang lainnya, laki-laki berinisial KC (20), juga terluka. Korban mengalami luka lecet pada lutut kaki kiri.""Pengemudi mengalami luka memar pada bagian bagian kaki dan tangan lecet,"" imbuhnya.Jamal menjelaskan kecelakaan terjadi ketika mobil Fortuner yang dikemudikan pria berinisial OLP (21) melaju dari arah barat ke timur di Jl KH Abdullah Syafe'i, Tebet, Jakarta Selatan. Setiba di lokasi, tepatnya di depan Cafe Komandan, mobil oleng ke kanan.Baca juga: Byuur! Sapi di Klaten Ini Malah Nyemplung Sumur Saat Akan Dimandikan""Pengemudi diduga kurang hati-hati, sehingga kendaraan oleng ke kanan menabrak pagar pembatas dan masuk ke selokan air Tebet,"" jelasnya.Mobil yang diisi 3 orang, termasuk pengemudinya, itu kemudian jatuh ke kali. Mobil terbalik dengan posisi keempat roda di atas.Beruntung, kondisi kali sedang kering. Akibat kecelakaan tersebut, mobil Fortuner mengalami kerusakan parah.""Mobil mengalami kerusakan parah pada bodi depan, atas, dan samping,"" tutur Jamal.Baca juga: Belajar Nyetir Mobil, Bapak-Anak Nyemplung Embung di Bantul
(mei/idn)


mobil nyemplung fortuner nyemplung ke kali jakarta kecelakaan lalu lintas jabodetabek",https://news.detik.com/berita/d-6142240/mobil-fortuner-nyemplung-ke-kali-di-tebet-sopir-dan-2-penumpang-terluka
"
        Tabrak Lari di Denpasar, Pengendara Mobil Dipolisikan Pemotor    ","Rabu, 22 Jun 2022 23:21 WIB",I Wayan Sui Suadnyana - detikBali,detikBali,Denpasar,"Denpasar - Peristiwa tabrak lari terjadi di Jalan Letda Tantular, Denpasar, tepatnya di tikungan sebelah utara Kantor Perwakilan Bank Indonesia Provinsi Bali. Akhirnya pengendara sepeda motor melaporkan pengendara mobil karena kabur dan tidak mau bertanggung jawab.Berawal dari seorang pengendara mobil merek Toyota Avanza dengan nomor polisi DK-1397-CA menabrak pengendara sepeda motor di Kota Denpasar, Bali. Pengendara mobil tersebut malah kabur usai menabrak pemotor.Adapun pengendara sepeda motor yang ditabrak oleh pelaku bernama Singgih Prakoso Indriyatmoko. Singgih langsung melaporkan peristiwa tabrak lari tersebut ke polisi.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

""Terus pemikiran saya (usai kejadian) adalah cari kantor polisi terdekat,"" kata Singgih dalam sambungan telepon kepada detikBali, Rabu (22/6/2022).Singgih mengatakan, usai kejadian tabrak lari tersebut dirinya mendatangi Pos Kepolisian (Pospol) Renon yang berada di sebelah timur Monumen Perjuangan Rakyat Bali Bajra Sandi. Pada saat itu, Singgih langsung menunjukkan foto plat mobil penabrak. Namun, polisi di sana mengarahkan Singgih agar melapor ke Polresta Denpasar.""Nah akhirnya udah deh saya langsung dari Renon ke Polresta Denpasar langsung ke Satlantas bikin laporan untuk terjadinya tabrak lari. Jadi sudah ada laporan di Polresta Denpasar tadi,"" ujar Singgih.Baca juga: Polisi Tetapkan 3 Tersangka Kasus Bentrokan di Pedungan DenpasarSinggih menegaskan, dirinya melaporkan peristiwa tersebut ke Polresta Denpasar guna menuntut pelaku mengganti rugi terhadap luka-luka yang dialaminya. Namun ia tidak menutup kemungkinan akan mematuhi proses hukum jika polisi membawa perkaranya tersebut ke ranah pidana.""(Saya melapor) betul (untuk menuntut ganti rugi). Saya tidak menutup kemungkinan gitu kan, tapi kalau semisal pihak kepolisian juga menemukan tindak pidana lalu lintas berupa tabrak lari yang menyebabkan orang cedera ya saya patuh terhadap hukum saja,"" tegas Singgih.Untuk diketahui, akibat ditabrak pengendara mobil tersebut, Singgih mengalami luka pada siku kiri, lutut kiri dan dadanya terasa sakit akibat terbentuk dengan stang motor. Usai melapor ke polisi, Singgih pun mendatangi Instalasi Tawar Darurat (IGD) Rumah Sakit Umum Pusat (RSUP) Sanglah Denpasar.""Saya tadi setelah bikin laporan, terus juga saya lapor ke kantor saya gitu kan, atasan saya akhirnya saya ditujukan untuk periksa dulu di rumah sakit Sanglah. Jadi saya menuju ke IGD-nya,"" terang Singgih.Pada saat itu, Singgih mengaku khawatir karena dadanya yang terasa sakit. Ia takut ada tulang di dada yang patah atau terdapat luka dan pendarahan di dalam.""Saya khawatirnya mungkin ada tulang rusuk yang patah atau pendarahan di dada gitu kan, kan enggak pernah tahu. Setelah diperiksa alhamdulillah enggak ada tulang yang patah atau luka dalam itu enggak ada. Jadi memang memar dan trauma benturan saja begitu kan. Terus bukti pemeriksaannya juga saya kasi ke dealer saya,"" ujar Singgih.Polisi Buru PelakuSementara itu, pihak Kepolisian Resor (Polresta) Denpasar kini memburu pengendara mobil Toyota Avanza dengan nomor polisi DK-1397-CA yang menabrak pengendara sepeda motor di Kota Denpasar, Bali.""Benar (kita buru pelaku),"" kata Kepala Seksi Hubungan Masyarakat (Kasi Humas) Polresta Denpasar Iptu I Ketut Sukadi dalam pesan singkatnya kepada detikBali, Rabu (22/6/2022) malam.Kecelakaan lalu lintas tersebut terjadi pada Rabu (22/6) sekitar pukul 12.05 WITA. Tempat kejadian perkara (TKP) yakni di tikungan Jalan Letda Tantular, tepatnya sebelah utara Kantor Perwakilan Bank Indonesia Provinsi Bali.Adapun mereka yang terlibat kecelakaan yakni sepeda motor Honda Blade dengan nomor polisi W-2534-XZ dengan pengemudi mobil Avanza DK-1397-CA. Pengemudi mobil kabur usai peristiwa tersebut.""Pengendara mobil Avanza DK-1397-CA meninggalkan TKP,"" ujar Sukadi.Sukadi menuturkan, awalnya sebelum kejadian pengemudi mobil Avanza DK-1397-CA dan sepeda Honda Blade W-2534-SC sama-sama bergerak dari arah selatan ke utara. Posisi sepeda motor Honda Blade berada di depan Mobil Avanza.Saat itu, sepeda motor Honda Blade berada di jalur kanan, sedangkan mobil Avanza di jalur tengah. Setibanya di TKP, sepeda motor Honda Blade menikung ke kanan. Kemudian mobil Avanza juga menikung dan berpindah jalur ke kanan sehingga menyerempet sepeda Honda Blade dan terjadi kecelakaan.Sukadi mengatakan, korban dalam kecelakaan tersebut yakni seorang karyawan swasta bernama Singgih Prakoso Indriyatmoko. Pria yang tinggal di Kecamatan Kuta Selatan, Kabupaten Badung itu mengalami luka-luka akibat kecelakaan tersebut.""Korban mengalami luka pada siku tangan kiri dan kaki kiri lecet, dada memar, nihil dirawat di rumah sakit,"" terang Sukadi.
Simak Video "" Kakek di Makassar Tewas Ditabrak saat Akan ke Masjid, Pelaku Dibekuk!""
[Gambas:Video 20detik]
(kws/kws)


korban tabrak lari polresta denpasar tabrakan di renon pengendara mobil kabur kabur usai tabrak pemotor denpasar",https://www.detik.com/bali/berita/d-6142004/tabrak-lari-di-denpasar-pengendara-mobil-dipolisikan-pemotor
"
        Detik-detik Mobil Dikendarai ASN Tertabrak Kereta Api di Medan    ","Rabu, 22 Jun 2022 21:23 WIB",Nizar Aldi - detikSumut,detikSumut,Medan,"Medan - Sebuah mobil Pajero Sport yang dikendarai Aparatur Sipil Negara (ASN) tertabrak oleh kereta api di Jalan Budi Kemasyarakatan, Medan. Salah satu warga yang berjualan BBM eceran di dekat lokasi, Dona (19), menceritakan bagaimana awal mula kecelakaan tersebut.""Kami sama ayah dan uwak (paman) sana (menunjuk rumah) sedang duduk-duduk di sini (warung) saat kejadian,"" kata Dona kepada detikSumut, Rabu (22/6/2022).Kemudian dia menambahkan, saat itu paman yang bersama mereka sudah mengingatkan pengendara tersebut bahwa ada kereta api yang akan lewat. Namun, mobil yang dikendarai ASN tersebut tetap melaju.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

""Nggak mau dia (supir) berhenti, tetap aja dia jalan,"" tambahnya.Akibatnya, kata dia, mobil tersebut tertabrak oleh kereta api di bagian belakang. Mobil yang ditabrak itu pun berputar dan mengenai rak jualan BBM milik Dona.""Kena tabrak dia, akhirnya kenalah ke jualan kami ini, beserak (berantakan) semua itu,"" ucapnya.Pengendara mobil Pajero Sport tersebut, kata Dona, seorang ASN di kepolisian. Namun dia tidak tahu pasti tugasnya di Polsek atau Polrestabes.""Iya (ASN), ASN kepolisian katanya, tapi nggak tau tugasnya di Polsek Medan Barat atau Medan Timur atau dimana,"" jelasnya.Baca juga: Kereta Api Tabrak Pajero yang Dikendarai ASN di Medan BaratKecelakaan itu bukan pertama kali terjadi di lokasi tersebut. Dalam dua bulan terakhir saja kata dia, sudah ada tiga kali terjadi kecelakaan.""Bukan (pertama kali), dalam dua bulan ini saja sudah ada tiga kali, mobil semua itu,"" kata Dona.Bahkan orangtua Dona pernah menjadi korban akibat mengingatkan pengendara mobil yang melintas di perlintasan kereta api tersebut.""Semalam itu ayah saya pernah terpental akibat ingatkan mobil juga, bahkan teras rumah depan itu hancur akibat kena tabrakan,"" sebutnya.Dona menjelaskan dua kecelakaan sebelumnya melibatkan mobil yang dikendarai oleh seorang dokter saraf dan satu lagi orang dari Provinsi Aceh.Baca juga: Detik-detik Jukir di Medan Barat Terlindas Trans Metro DeliSebelumnya diberitakan, Kecelakaan lalu lintas di perlintasan kereta api kembali terjadi di Kota Medan. Kal ini kereta api menabrak mobil Pajero Sport di Jalan Budi Kemasyarakatan, Kecamatan Medan Barat, Kota Medan.Kapolsek Medan Barat Kompol Ruzi Gusman menjelaskan kejadian berlangsung pada Senin (20/6) sekitar pukul 17.00 WIB. Ruzi menyebut mobil Pajero itu dikendarai oleh seorang ASN.""Awalnya pengendara mobil berinisial M (berumur 39 tahun dan tidak ingin disebut namanya) yang merupakan ASN melintas dari Jalan Ampera lalu melintas di rel kereta api,"" katanya saat dikonfirmasi, Selasa (21/6).
Simak Video ""Petani Difabel Paruh Baya Tewas Tertabrak di Barru""
[Gambas:Video 20detik]
(afb/afb)


medan tertabrak kereta api tertabrak kereta api di medan mobil tertabrak kereta api",https://www.detik.com/sumut/berita/d-6141894/detik-detik-mobil-dikendarai-asn-tertabrak-kereta-api-di-medan
"
        6 Pamen Polda Metro Promosi Jabatan, AKBP Jamal Jadi Kapolres Kendal    ","Rabu, 22 Jun 2022 20:57 WIB",Yogi Ernes - detikNews,detikNews,Jakarta,"Jakarta -  Polri melakukan rotasi jabatan perwira tinggi (pati) hingga perwira menengah (pamen). Salah satunya posisi Kasubdit Gakkum Ditlantas Polda Metro Jaya AKBP Jamal Alam yang mendapatkan promosi sebagai Kapolres Kendal.Promosi AKBP Jamal Alam itu tertuang dalam surat telegram (ST) Kapolri bernomor ST/1214-1217/6/VI/KEP/2022, tertanggal 20 Juni 2022. Jamal menjabat Kapolres Kendal menggantikan AKBP Yuniar Ariefanto yang dipromosikan sebagai Wakil Direktur Intelkan Polda Jawa Tengah.Selain Jamal, perwira menegah di Polda Metro Jaya yang terkena rotasi adalah Kasubdit I Ditreskrimsus Polda Metro Jaya AKBP Edward Zulkarnain yang dipromosikan menjabat Kapolres Purwakarta menggantikan AKP Suhardi Hery Haryanto.


    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Kemudian Wakapolres Metro Bekasi Kota AKBP Deddy Supriadi digantikan oleh AKBP Erick Frendriz yang sebelumnya menjabat Kapolres Pasuruan. AKBP Deddy Supriadi dipromosikan sebagai Dirresnarkoba Polda Nusa Tenggara Barat.Baca juga: Ini Daftar 7 Kapolres yang Dimutasi di Lingkungan Polda SumutAKBP Jamal Alam (Foto: dok. Pribadi)Sementara Kasubdit Jatanras Ditreskrimum Polda Metro Jaya AKBP Awaludin Amin dipromosikan sebagai Kapolres Maros. Sementara AKBP Tartono Kabagfaskom Polda Metro Jaya dipromosikan sebagai Dirbinmas Polda DIY.Selanjutnya, AKBP Sardo Mangatur Pardamean Sibarani Kasiaga I Bagdalops Polda Metro dipromosikan sebagai Wakil Direktur Reskrimsus Polda Kalimantan Barat.Kadiv Humas Polri Irjen Dedi Prasetyo mengatakan telegram mutasi tersebut adalah hal yang biasa dalam rangka tour of duty penyegaran personel.""Hari ini (kemarin) Pak Kapolri keluarkan TR mutasi jabatan Kapolda, Pati, PJU tingkat Polda, Kapolres, dan jabatan penguatan lainnya. TR mutasi merupakan hal alamiah dalam organisasi tour of duty dan tour of area serta penyegaran organisasi. Dilakukan peningkatan performance kinerja kepolisian,"" kata Dedy wartawan, Selasa (21/6).Baca juga: 4 Kapolres di Sumsel Diganti, Berikut DaftarnyaBaca di halaman selanjutnya: profil AKBP Jamal Alam.



Halaman

                1            

                2            


            Selanjutnya 





rotasi polri mutasi polri akbp jamal alam polda metro jaya jabodetabek",https://news.detik.com/berita/d-6141872/6-pamen-polda-metro-promosi-jabatan-akbp-jamal-jadi-kapolres-kendal
"
        Detik-detik Ngeri Kecelakaan Motor di Jalan Dr Sutomo Jogja Terekam Kamera    ","Rabu, 22 Jun 2022 19:54 WIB",Heri Susanto - detikJateng,detikJateng,Yogyakarta,"Yogyakarta - Video peristiwa kecelakaan adu banteng dua motor di Jalan Dr Sutomo Jogja beredar di media sosial. Seperti apa kejadian dan kondisi korbannya?Momen kecelakaan itu terekam kamera dan videonya beredar salah satunya diposting oleh akun Twitter @merapi_uncover hari ini.Dalam video itu tampak dua motor yang melaju dari arah berlawanan tabrakan hingga salah satunya terjungkal. Dalam video itu terlihat arus lalu lintas di lokasi kejadian padat dari salah satu sisinya.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Menangkap Sinyal PDIP Siap Lepas Ganjar Nyapres dari Partai LainKeterangan yang ditulis pada postingan itu, seperti dikutip detikJateng, Rabu (22/6/2022), yakni sebagai berikut:Selasa, 21 Juni 2022Kejadian di depan Toko Intisari Baker's Mart, Jalan Dr. Sutomo, YogyakartaPengendara Vario tidak hati-hati saat ingin mendahului dg mengambil lajur lawan arah.Jika ingin mendahului kendaraan lain, pastikan jarak aman & kondisi memungkinkanð¸:Mbull NurullDimintai konfirmasi terkait peristiwa tersebut, Kasubbag Humas Polresta Jogja AKP Timbul Sasana Raharja, mengungkap kronologi kejadiannya.Semula motor Honda Vario bernopol AB 5288 RH yang dikemudikan Suharno melaju dari arah selatan ke utara di Jalan Dr Sutomo.Baca juga: Hari Ini Dipercaya Awal Tahun Jawa Purwa 2933 Ciptaan Mpu Hubayun""Sesampainya di depan toko Intisari No 29, (pemotor Vario itu) menabrak kendaraan mobil jenis pikap tidak teridentifikasi nopol dan pengemudinya yang berada di depannya. Karena lampu traffic light menyala merah, kemudian (pemotor Vario) oleng ke kanan dan tertabrak kendaraan sepeda motor Yamaha Vixion AB 2451 CA yang berjalan dari arah (berlawanan) utara ke selatan yang dikemudikan Yongki Ardiyan Noya,"" jelasnya.Motor Yamaha Vixion itu, kata Timbul, dikendarai Yongki berboncengan dengan Aurelita Azzizah Prabaningsih.""Setelah kejadian, kendaraan mobil jenis pikap tidak teridentifikasi nnopol dan pengemudinya, meninggalkan TKP ke arah utara,"" kata Timbul.Akibat kecelakaan tersebut, Timbul mengunhkap, ketiga orang yang terlibat kecelakaan harus dirawat di rumah sakit. Pengendara moto Vario mengalami lecet di beberapa bagian tubuh dan wajahnya.Sementara pengendara motor Yamaha Vixion mengalami patah tulang lengan kiri. Sementara pemboncengnya mengalami patah tulang di bahu kiri.
Simak Video ""Heboh Video Pengeroyokan Lukai Remaja di Yogyakarta, Pelaku Diburu""
[Gambas:Video 20detik]
(sip/sip)


kecelakaan jogja polresta jogja kecelakaan di jogja adu banteng viral video viral detikjateng detikjogja",https://www.detik.com/jateng/jogja/d-6141779/detik-detik-ngeri-kecelakaan-motor-di-jalan-dr-sutomo-jogja-terekam-kamera
"
        Gagal Nyalip, Pemotor di Bogor Tewas Usai Terbentur Pikap    ","Rabu, 22 Jun 2022 19:22 WIB",Rizky Adha Mahendra - detikNews,detikNews,Bogor,"Bogor - Kecelakaan lalu lintas terjadi di Jalan Raya Cileungsi-Jonggol, Kecamatan Cileungsi, Kabupaten Bogor. Satu orang pengendara motor menjadi korban tewas akibat kejadian tersebut.""Meninggal dunia satu orang, pengendara Honda Beat bernopol B-4601-BJP inisial SPR (50),"" kata Kanit Gakkum Satlantas Polres Bogor Ipda Angga Nugraha melalui keterangannya, Rabu (22/6/2022).Baca juga: Pikap Tabrak Separator-Minibus di Tangsel, Lalin ke Arah UIN MacetAngga mengungkapkan, kecelakaan itu terjadi pada pukul 13.02 WIB siang tadi. Kejadian bermula saat pengendara motor melaju dari arah Jonggol menuju Cileungsi. Setiba di tempat kejadian perkara (TKP), korban bergerak ke kanan mendahului mobil pikap.


    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

""Pada saat bersamaan, bergerak dari arah berlawanan kendaraan truk Hino bernopol B-9653-KYU,"" jelasnya.Kemudian terjadi benturan antara setang sebelah kanan sepeda motor dengan bagian ban belakang sebelah kiri truk. Pengendara lalu terjatuh ke kiri.Baca juga: Angkot di Bogor Terjun ke Sungai Usai Cuci Steam, Sopir Terluka""Kepala pengendara membentur bak sebelah kanan kendaraan pikap,"" ungkapnya.Korban mengalami luka di bagian kepala. Korban kemudian dilarikan ke RSUD Cileungsi.
(mae/mae)


kecelakaan bogor kabupaten bogor jabodetabek",https://news.detik.com/berita/d-6141711/gagal-nyalip-pemotor-di-bogor-tewas-usai-terbentur-pikap
"
        Polisi Kantongi Identitas Penyenggol Jukir hingga Terlindas Bus    ","Rabu, 22 Jun 2022 18:12 WIB",Goklas Wisely - detikSumut,detikSumut,Medan,"Medan - Polisi menindaklanjuti laporan dari keluarga jukir yang terlindas Bus Trans Metro Deli di Jalan Jamin Ginting, Medan. Sejumlah saksi yang melihat peristiwa itu telah dimintai keterangan.""Iya keluarga sudah melaporkan kejadian kecelakaan lalu lintas itu. Itu baru semalam dilaporkan. Sejauh ini sudah ada beberapa saksi-saksi di lokasi yang diperiksa,"" kata Kapolsek Medan Baru Kompol Ginanjar Fitriadi saat dikonfirmasi, Rabu, (22/6/2022).Ginanjar menambahkan pihaknya telah mengantongi identitas pengendara mobil Avanza yang menyenggol jukir hingga akhirnya terlindas Bus Trans Metro Deli. Namun, pihaknya belum akan memanggil orang tersebut.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

""Untuk data pengendara atau identitas mobil Avanza juga sudah ada. Tapi belum mengarah ke pengendaranya, tapi ke saksi-saksi di lapangan,"" tambahnya.Termasuk sopir Trans Metro Deli yang melindas jukir, kata Ginanjar, belum juga dimintasi keterangan.""Untuk pengendara Trans Metro Deli belum ada dilayangkan surat panggilan.Baca juga: Jukir di Medan Baru Terlindas Bus Trans Metro DeliSebelumnya diberitakan seorang jukir bernama Hendrik terlindas Bus Trans Metro Deli di Jalan Jamin Ginting, Medan, Senin (13/6).Hendrik terlindas usai lebih dahulu disenggol mobil Avanza.""Itu kejadiannya sekitar pukul 11.00 WIB. Kronologisnya ada mobil pribadi yang parkir di sekitar lokasi mau keluar. Lalu, dia datang untuk mengatur parkirannya,"" seorang saksi mata, Fandy Golia, Rabu (22/6/2022).""Nah, dia tidak tahu mobil tersebut mau mundur. Makanya dia tersenggol mobil pribadi hingga terjatuh. Pas pula lagi melintas Bus Metro Deli. Makanya sampai terseret lah tubuhnya,"" tambahnya.Baca juga: Trans Metro Deli Bantu Pengobatan Jukir yang Terlindas
Simak Video ""Aksi Bela Al-Qur'an di Medan, Massa Bakar Patung Rasmus Paludan""
[Gambas:Video 20detik]
(astj/astj)


trans metro deli jukir medan polsek medan baru sumut terlindas bus",https://www.detik.com/sumut/hukum-dan-kriminal/d-6141497/polisi-kantongi-identitas-penyenggol-jukir-hingga-terlindas-bus
"
        Sepekan Operasi Patuh, 57 Ribu Pengendara Ditindak    ","Rabu, 22 Jun 2022 16:36 WIB",Ilham Satria Fikriansyah - detikOto,detikOto,Jakarta,"Jakarta - Operasi Patuh 2022 sudah digelar satu pekan lebih. Pada tujuh hari pertama digelarnya operasi tersebut, setidaknya ada 57 ribu pengendara mendapat penindakan dari polisi.Dilansir Korlantas Polri, hingga Selasa (22/6) kemarin, sebanyak 57.126 kendaraan ditindak di seluruh Indonesia.Baca juga: Baru Hari Pertama Operasi Patuh Jaya, 2 Ribu Orang Kena TilangBaca juga: Operasi Patuh Jaya 2022 Dimulai, Ini 8 Pelanggaran yang Diincar""Yang pertama jumlah penindakan pelanggaran lalu lintas sebanyak 57.126 penindakan,"" kata Kabag Penum Divisi Humas Polri, Kombes Gatot Repli Handoko dalam keterangan resminya.



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Gatot mengungkapkan, penindakan yang dilakukan polisi terhadap para pelanggar dilakukan melalui dua cara yakni tilang elektronik atau ETLE dan teguran. Lebih rinci, penindakan melalui ETLE mencapai 5.365 kasus dan teguran sebanyak 51.761 kasus.Lebih lanjut, selama Operasi Patuh 2022 digelar telah terjadi insiden kecelakaan di jalan raya. Korlantas Polri mencatat terjadi 241 kecelakaan dalam kurun waktu satu pekan terakhir.Atas insiden tersebut, Korlantas Polri mencatat sebanyak 17 orang meninggal dunia dalam sepekan terakhir. Lalu total kerugian materiil akibat kecelakaan ditaksir hingga mencapai Rp 379 juta.""Dengan jumlah korban meninggal dunia sebanyak 17 orang, luka berat sebanyak 27 orang dan luka ringan sebanyak 313 orang. Adapun kerugian materiil sebanyak Rp 379.950.000,"" jelas Gatot.Baca juga: Puluhan Juta Kendaraan Belum Bayar Pajak, Data Akan Dihapus Jadi BodongBaca juga: Jakarta Makin Macet? Jangan Heran, Ada 22 Juta Kendaraan Lebih Wara-wiriOperasi Patuh 2022 akan dilaksanakan selama 14 hari, terhitung mulai 13-26 Juni 2022.Ada delapan pelanggaran lalu lintas yang menjadi incaran prioritas polisi, yakni:Melawan arusKnalpot bising atau tidak sesuai standarKendaraan memakai rotator tidak sesuai peruntukan khususnya pelat hitamBalap liar dan kebut-kebutanMenggunakan HP saat berkendaraTidak menggunakan helm SNITidak memakai sabuk pengamanBerboncengan motor lebih dari 1 orang Simak Video ""Kapolri Pergoki Sekolah Inspektur Polisi Berbayar, Langsung Dicoret!""
[Gambas:Video 20detik]
(din/din)


polri operasi patuh jaya polisi",https://oto.detik.com/berita/d-6141112/sepekan-operasi-patuh-57-ribu-pengendara-ditindak
"
        Hingga Pertengahan 2022, Ada 13 Kecelakaan Lalu Lintas di Baturiti    ","Rabu, 22 Jun 2022 15:48 WIB",Chairul Amri Simabur - detikBali,detikBali,Tabanan,"Tabanan - Tabrakan beruntun di jalur Denpasar-Singaraja, Banjar Pacung, Desa/Kecamatan Baturiti, Tabanan, belum lama ini menambah jumlah kecelakaan sepanjang pertengahan 2022. Berdasarkan data dari Satuan Lalu Lintas Polres Tabanan, jumlah kecelakaan di Kecamatan Baturiti dari Januari-Juni 2022 tercatat 13 kasus skala ringan hingga berat. Angka tersebut hampir menyamai jumlah kecelakaan di wilayah yang sama sepanjang 2021 lalu dengan catatan sebanyak 14 kasus.Kepala Satuan Lalu Lintas Polres Tabanan, AKP Kanisius Franata, mengimbau pengendara yang melintas di jalur itu untuk memastikan kondisi kendaraannya layak jalan.""Mengingat ruas jalan yang kurang besar dan juga volume kendaraan tinggi saat mengarah ke area Baturiti, kami imbau untuk memastikan kondisi kendaraan dalam keadaan layak sebelum melakukan perjalanan,"" kata Kanisius Franata, Rabu (22/6/2022).



    ADVERTISEMENT
  















        SCROLL TO RESUME CONTENT
  

Baca juga: Sopir Bus Maut di Tabanan Terancam 6 Tahun BuiSelain itu, pihaknya juga mengimbau masyarakat setempat untuk tidak memarkir kendaraan di pinggir jalan.""Gunakan area yang lapang untuk tempat parkir. Sementara kepada pengendara kami juga imbau untuk memperhatikan batas kecepatan saat berkendaraan,"" imbuhnya.Sementara itu, tabrakan beruntun di Desa Adat Pacung, Desa/Kecamatan Baturiti, belum lama ini membuat warga setempat trauma.""Dari kejadian-kejadian terakhir ini sangat menyisakan trauma yang luar biasa. Warga kami, termasuk saya sendiri juga was-was,"" ujar Bendesa Adat Pacung, Made Kariawan.Bahkan menurutnya, kecelakaan lalu lintas di jalur nasional yang melintasi wilayah Desa Adat Pacung terlalu sering terjadi. Baik yang menimbulkan korban luka-luka maupun nyawa.""Sangat sering,"" ungkap Kariawan.Baca juga: 8 Mobil-2 Motor Ringsek, Kerugian Laka Bus Maut Rp 300 JutaIa juga menyebutkan sekitar sepuluh hari sebelum hari raya Kuningan juga sempat terjadi kecelakaan. Kejadiannya sebelum dan sesudah hari raya Galungan.Satu kasus yang juga sempat menimbulkan korban jiwa, seingat Kariawan, antara lain kecelakaan yang dialami mobil Colt. Tiga nyawa melayang saat itu.""Yang menimbulkan korban jiwa, seingat saya itu, kecelakaan Colt yang merenggut tiga nyawa,"" ujarnya.Kemudian ada juga kecelakaan yang dialami truk bermuatan tiang listrik dan merenggut satu nyawa. Kasus lainnya yang merenggut nyawa satu warga setempat adalah tabrakan dengan mobil L 300 yang mengangkut besi.
Simak Video ""Bejat! Bapak di Tabanan Perkosa Anak dan keponakan Berkali-kali""
[Gambas:Video 20detik]
(iws/iws)


baturiti kecelakaan bus baturiti kecelakaan maut baturiti kecelakaan baturiti polres tabanan desa adat pacung update kecelakaan maut baturiti",https://www.detik.com/bali/berita/d-6141125/hingga-pertengahan-2022-ada-13-kecelakaan-lalu-lintas-di-baturiti
